#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     3.400496     0.000000     0.000000
0.015015     3.400528     0.000214     32.545495
0.030030     3.400624     0.000428     130.213116
0.045045     3.400784     0.000642     293.096254
0.060060     3.401009     0.000856     521.351148
0.075075     3.401298     0.001071     815.197259
0.090090     3.401651     0.001287     1174.918434
0.105105     3.402069     0.001503     1600.863745
0.120120     3.402552     0.001720     2093.449240
0.135135     3.403100     0.001937     2653.159732
0.150150     3.403714     0.002156     3280.550596
0.165165     3.404393     0.002375     3976.250414
0.180180     3.405138     0.002596     4740.963570
0.195195     3.405949     0.002818     5575.473676
0.210210     3.406827     0.003042     6480.646845
0.225225     3.407773     0.003267     7457.435876
0.240240     3.408786     0.003494     8506.885276
0.255255     3.409867     0.003722     9630.135380
0.270270     3.411017     0.003953     10828.429769
0.285285     3.412237     0.004186     12103.120002
0.300300     3.413526     0.004421     13455.673863
0.315315     3.414886     0.004658     14887.684581
0.330330     3.416318     0.004899     16400.878113
0.345345     3.417823     0.005142     17997.123650
0.360360     3.419400     0.005388     19678.448316
0.375375     3.421051     0.005637     21447.046353
0.390390     3.422778     0.005890     23305.297003
0.405405     3.424581     0.006146     25255.779552
0.420420     3.426461     0.006407     27301.294870
0.435435     3.428420     0.006672     29444.885145
0.450450     3.430459     0.006941     31689.859516
0.465465     3.432579     0.007215     34039.823219
0.480480     3.434781     0.007495     36498.710488
0.495495     3.437068     0.007780     39070.823693
0.510511     3.439441     0.008071     41760.874222
0.525526     3.441901     0.008368     44574.036642
0.540541     3.444452     0.008673     47516.008252
0.555556     3.447094     0.008985     50593.076431
0.570571     3.449831     0.009305     53812.204846
0.585586     3.452664     0.009634     57181.127410
0.600601     3.455597     0.009973     60708.466810
0.615616     3.458632     0.010322     64403.872296
0.630631     3.461772     0.010682     68278.184564
0.645646     3.465021     0.011055     72343.642422
0.660661     3.468382     0.011442     76614.122906
0.675676     3.471860     0.011843     81105.447604
0.690691     3.475459     0.012261     85835.753775
0.705706     3.479185     0.012698     90825.960198
0.720721     3.483041     0.013156     96100.347778
0.735736     3.487036     0.013636     101687.306485
0.750751     3.491175     0.014143     107620.278800
0.765766     3.495466     0.014680     113938.987241
0.780781     3.499918     0.015251     120691.041843
0.795796     3.504540     0.015861     127934.064971
0.810811     3.509344     0.016517     135738.544686
0.825826     3.514342     0.017227     144191.709196
0.840841     3.519550     0.018000     153402.892755
0.855856     3.524984     0.018850     163511.045163
0.870871     3.530664     0.019792     174695.464561
0.885886     3.536613     0.020848     187191.409717
0.900901     3.542858     0.022047     201313.228083
0.915916     3.549432     0.023428     217489.355615
0.930931     3.556370     0.025046     236316.320902
0.945946     3.563713     0.026977     258643.613239
0.960961     3.571502     0.029334     285708.886870
0.975976     3.579772     0.032284     319353.701102
0.990991     3.588522     0.036077     362358.334229
