#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     3.696059     0.000000     0.000000
0.015015     3.696132     0.000491     74.766644
0.030030     3.696352     0.000983     299.307123
0.045045     3.696719     0.001477     674.346812
0.060060     3.697234     0.001973     1201.106802
0.075075     3.697897     0.002472     1881.322354
0.090090     3.698710     0.002976     2717.270259
0.105105     3.699674     0.003484     3711.804767
0.120120     3.700790     0.003999     4868.404024
0.135135     3.702060     0.004520     6191.229772
0.150150     3.703487     0.005050     7685.199505
0.165165     3.705073     0.005589     9356.078216
0.180180     3.706821     0.006139     11210.589121
0.195195     3.708734     0.006701     13256.551509
0.210210     3.710816     0.007276     15503.049858
0.225225     3.713071     0.007868     17960.644223
0.240240     3.715503     0.008477     20641.632109
0.255255     3.718118     0.009107     23560.374176
0.270270     3.720923     0.009759     26733.706753
0.285285     3.723923     0.010438     30181.466117
0.300300     3.727127     0.011147     33927.159651
0.315315     3.730543     0.011890     37998.832034
0.330330     3.734181     0.012673     42430.202948
0.345345     3.738053     0.013503     47262.165187
0.360360     3.742172     0.014386     52544.791828
0.375375     3.746553     0.015334     58340.063015
0.390390     3.751214     0.016358     64725.605863
0.405405     3.756174     0.017474     71799.928522
0.420420     3.761459     0.018701     79689.842619
0.435435     3.767096     0.020067     88561.189216
0.450450     3.773118     0.021604     98634.629050
0.465465     3.779566     0.023361     110209.332800
0.480480     3.786483     0.025401     123699.272823
0.495495     3.793924     0.027815     139689.903919
0.510511     3.801945     0.030735     159028.327079
0.525526     3.810601     0.034351     182968.497334
0.540541     3.819926     0.038952     213404.964593
0.555556     3.829884     0.044973     253236.723885
0.570571     3.840254     0.053063     306865.389956
0.585586     3.850354     0.064121     380569.527238
0.600601     3.858490     0.079082     481398.946159
0.615616     3.861277     0.097791     610174.534461
0.630631     3.854532     0.116218     742832.110909
0.645646     3.839158     0.125423     820758.641623
0.660661     3.825572     0.120677     808063.367623
0.675676     3.822765     0.108932     745999.424968
0.690691     3.829885     0.099048     693381.814211
0.705706     3.842126     0.094551     676289.358345
0.720721     3.855573     0.095276     695973.582333
0.735736     3.868175     0.099342     740796.813064
0.750751     3.880450     0.104888     798112.663366
0.765766     3.894070     0.112757     875149.592972
0.780781     3.908208     0.125960     996793.575925
0.795796     3.918541     0.146373     1180609.779017
0.810811     3.918485     0.171610     1410284.925102
0.825826     3.904148     0.192082     1607746.846190
0.840841     3.883196     0.196366     1673495.210835
0.855856     3.870839     0.185787     1611611.438294
0.870871     3.872647     0.173182     1528619.580560
0.885886     3.882275     0.167784     1506513.125668
0.900901     3.890855     0.169768     1550158.843699
0.915916     3.894277     0.172742     1603604.447925
0.930931     3.896499     0.171424     1617458.154625
0.945946     3.902115     0.168131     1611970.878534
0.960961     3.909667     0.165789     1614752.786117
0.975976     3.918066     0.162863     1611033.822498
0.990991     3.929599     0.159399     1601023.232517
1.006006     3.944155     0.158017     1611190.167249
1.021021     3.959929     0.158685     1642154.566746
1.036036     3.978011     0.160702     1687482.269929
1.051051     3.999545     0.166858     1777518.281123
1.066066     4.021809     0.180677     1952232.662233
1.081081     4.039424     0.202914     2223382.116219
1.096096     4.046382     0.230199     2557377.463324
1.111111     4.039689     0.253420     2853919.233172
1.126126     4.026916     0.262363     2994560.021474
1.141141     4.021911     0.259636     3002945.768710
1.156156     4.027191     0.257766     3020542.972681
1.171171     4.034429     0.262499     3115957.753366
1.186186     4.036339     0.270337     3250134.865971
1.201201     4.031386     0.273436     3329007.069439
1.216216     4.026351     0.265385     3271374.802036
1.231231     4.030242     0.249375     3111977.859392
1.246246     4.044397     0.232508     2936873.075011
1.261261     4.067157     0.217900     2785511.002759
1.276276     4.097982     0.208329     2694875.386573
1.291291     4.134500     0.207185     2711597.770440
1.306306     4.172708     0.216132     2861585.724119
1.321321     4.208311     0.234831     3144903.734208
1.336336     4.237730     0.260808     3532486.725273
1.351351     4.259660     0.290715     3981794.570090
1.366366     4.273520     0.322575     4467264.346071
1.381381     4.277142     0.353029     4942734.076145
1.396396     4.271854     0.374678     5302860.890801
1.411411     4.266435     0.383687     5488764.178132
1.426426     4.267935     0.385763     5577169.773818
1.441441     4.274172     0.386551     5647381.008761
1.456456     4.282944     0.384296     5672921.536400
1.471471     4.297527     0.378011     5637669.786228
1.486486     4.320444     0.370430     5580989.426730
1.501502     4.352762     0.364744     5550824.988824
1.516517     4.394133     0.365334     5615401.149538
1.531532     4.441410     0.375851     5834245.171533
1.546547     4.490779     0.397776     6235122.279807
1.561562     4.538367     0.432443     6844338.894703
1.576577     4.576831     0.479961     7669448.452639
1.591592     4.597500     0.532174     8584779.773640
1.606607     4.602236     0.573745     9342692.265305
1.621622     4.605174     0.596904     9810648.971820
1.636637     4.620458     0.606011     10052558.757542
1.651652     4.656313     0.613347     10267584.749233
1.666667     4.709914     0.634087     10711274.964798
1.681682     4.768920     0.675453     11512841.897055
1.696697     4.823229     0.733238     12609355.052673
1.711712     4.872697     0.801990     13913711.071675
1.726727     4.918446     0.884551     15480687.549480
1.741742     4.953748     0.984623     17381893.334683
1.756757     4.969087     1.098899     19566497.017035
1.771772     4.958239     1.218740     21885789.610978
1.786787     4.919205     1.332147     24125065.072723
1.801802     4.859748     1.425212     26027348.410846
1.816817     4.797057     1.496315     27553562.243321
1.831832     4.738507     1.557329     28914092.691891
1.846847     4.678560     1.616171     30252529.458920
1.861862     4.608748     1.670815     31529670.755480
1.876877     4.526879     1.710346     32535934.914693
1.891892     4.442572     1.724905     33075397.841084
1.906907     4.371611     1.713999     33127116.879727
1.921922     4.329076     1.689165     32904191.038368
1.936937     4.318591     1.673223     32848289.618837
1.951952     4.323979     1.685723     33350225.684396
1.966967     4.321516     1.727685     34443322.406566
1.981982     4.295160     1.787124     35900284.209719
1.996997     4.237039     1.846528     37374616.212150
2.012012     4.151605     1.884600     38432035.215837
2.027027     4.056947     1.888449     38797913.602716
2.042042     3.973820     1.859218     38480298.588597
2.057057     3.918052     1.810205     37741358.837118
2.072072     3.891634     1.761679     36997733.304702
2.087087     3.882953     1.725431     36499065.512821
2.102102     3.881811     1.701039     36241958.096753
2.117117     3.884898     1.685068     36158113.925411
2.132132     3.893437     1.677602     36253209.178606
2.147147     3.904951     1.684029     36648379.210711
2.162162     3.910782     1.705449     37374081.434405
2.177177     3.904438     1.737676     38344766.098860
2.192192     3.880207     1.774793     39433916.095094
2.207207     3.836081     1.804954     40378749.308710
2.222222     3.780498     1.818630     40961451.518789
2.237237     3.721452     1.815556     41168523.727407
2.252252     3.663077     1.793531     40942039.381430
2.267267     3.616955     1.750525     40226707.587080
2.282282     3.595770     1.697863     39274940.714338
2.297297     3.597366     1.652961     38487811.547003
2.312312     3.610047     1.622866     38034063.853155
2.327327     3.625014     1.606864     37903575.200346
2.342342     3.635272     1.601319     38016465.059886
2.357357     3.638262     1.598468     38192038.639556
2.372372     3.637813     1.592552     38293055.305174
2.387387     3.640327     1.582082     38282078.472092
2.402402     3.652747     1.572795     38296701.083270
2.417417     3.672319     1.576116     38617419.112670
2.432432     3.687307     1.595529     39335886.515994
2.447447     3.687983     1.625950     40333340.210696
2.462462     3.668149     1.657692     41372989.131367
2.477477     3.628560     1.676314     42092870.535055
2.492492     3.582185     1.670177     42192943.250909
2.507508     3.547158     1.642055     41732401.556361
2.522523     3.531473     1.606272     41067454.877137
2.537538     3.530724     1.574446     40493367.153373
2.552553     3.537226     1.550525     40114104.042544
2.567568     3.544118     1.532799     39888778.794432
2.582583     3.549475     1.515327     39664690.191952
2.597598     3.557329     1.494540     39348033.377709
2.612613     3.572659     1.472086     38980885.096194
2.627628     3.597310     1.453184     38701502.055060
2.642643     3.628827     1.442854     38645995.065271
2.657658     3.662590     1.442987     38869146.662648
2.672673     3.695061     1.453460     39372432.555294
2.687688     3.722167     1.474042     40154304.965958
2.702703     3.739002     1.501446     41129324.543915
2.717718     3.743979     1.529729     42136882.492448
2.732733     3.737843     1.554203     43047554.912530
2.747748     3.722045     1.568894     43693206.501289
2.762763     3.703881     1.567533     43893856.386843
2.777778     3.694977     1.551346     43676695.345058
2.792793     3.702646     1.530037     43309611.969032
2.807808     3.724482     1.514903     43111748.734106
2.822823     3.752110     1.509790     43196012.891236
2.837838     3.780887     1.512137     43493285.137769
2.852853     3.810011     1.520610     43968401.105967
2.867868     3.837928     1.534649     44607882.547766
2.882883     3.864175     1.552532     45363971.502449
2.897898     3.889470     1.573984     46230314.827172
2.912913     3.914081     1.599555     47224813.406372
2.927928     3.937622     1.631422     48413916.520106
2.942943     3.955745     1.671569     49859702.150878
2.957958     3.962416     1.716860     51471911.628453
2.972973     3.955530     1.759384     53014555.123575
2.987988     3.939870     1.791966     54269045.118384
3.003003     3.922702     1.813239     55189234.517012
3.018018     3.909450     1.825488     55839848.520447
3.033033     3.903126     1.833154     56353342.741097
3.048048     3.903282     1.840035     56844875.646609
3.063063     3.910399     1.848276     57380756.870951
3.078078     3.923624     1.863846     58147796.599630
3.093093     3.934808     1.889988     59250978.519241
