#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     3.487417     0.000000     0.000000
0.015015     3.487650     0.001635     248.883806
0.030030     3.488351     0.003293     1002.243780
0.045045     3.489528     0.004995     2280.674738
0.060060     3.491195     0.006768     4120.122242
0.075075     3.493372     0.008640     6574.524535
0.090090     3.496088     0.010645     9719.970691
0.105105     3.499375     0.012824     13660.940269
0.120120     3.503280     0.015228     18539.528255
0.135135     3.507858     0.017924     24549.099459
0.150150     3.513177     0.020997     31954.690514
0.165165     3.519320     0.024566     41123.943871
0.180180     3.526387     0.028789     52574.839005
0.195195     3.534496     0.033892     67050.749374
0.210210     3.543778     0.040196     85640.696233
0.225225     3.554362     0.048176     109975.052540
0.240240     3.566339     0.058542     142546.283541
0.255255     3.579652     0.072369     187227.118250
0.270270     3.593839     0.091282     250050.207872
0.285285     3.607428     0.117621     340102.081928
0.300300     3.616628     0.154189     469303.496722
0.315315     3.613250     0.202175     646125.630347
0.330330     3.584680     0.254577     852338.278014
0.345345     3.525581     0.288706     1010539.681205
0.360360     3.457928     0.281522     1028236.076876
0.375375     3.414769     0.241914     920387.066170
0.390390     3.403640     0.197309     780711.312664
0.405405     3.413187     0.163023     669855.911384
0.420420     3.432525     0.141476     602850.390913
0.435435     3.455814     0.130922     577805.109411
0.450450     3.480367     0.129619     591778.497667
0.465465     3.504647     0.136690     644863.845862
0.480480     3.527270     0.151828     739388.239313
0.495495     3.546906     0.175205     879890.571618
0.510511     3.561204     0.208480     1078729.905991
0.525526     3.562859     0.253084     1348037.138608
0.540541     3.539599     0.301530     1651970.325040
0.555556     3.488507     0.331014     1863879.802077
0.570571     3.433269     0.322481     1864904.719476
0.585586     3.403461     0.288444     1711964.478775
0.600601     3.402808     0.255899     1557748.558578
0.615616     3.417669     0.239451     1494066.792843
0.630631     3.433360     0.240870     1539578.176217
0.645646     3.438457     0.253737     1660436.405426
0.660661     3.429394     0.265300     1776472.641373
0.675676     3.413918     0.266142     1822614.363752
0.690691     3.400691     0.256506     1795664.679424
0.705706     3.395346     0.239050     1709844.926398
0.720721     3.402419     0.220459     1610417.611648
0.735736     3.419085     0.209278     1560589.782615
0.750751     3.437725     0.207798     1581176.546718
0.765766     3.453868     0.211932     1644884.280751
0.780781     3.469715     0.218449     1728713.234261
0.795796     3.487336     0.230911     1862469.835867
0.810811     3.501496     0.253510     2083330.747935
0.825826     3.503892     0.282938     2368228.903223
0.840841     3.492276     0.309557     2638141.510028
0.855856     3.471885     0.326195     2829578.485175
0.870871     3.450324     0.330101     2913699.237402
0.885886     3.436912     0.325308     2920895.174933
0.900901     3.431881     0.323470     2953616.515090
0.915916     3.424139     0.327668     3041813.928738
0.930931     3.408908     0.328076     3095530.858151
0.945946     3.393884     0.318822     3056736.560704
0.960961     3.384463     0.303668     2957656.559476
0.975976     3.381033     0.284709     2816330.030612
0.990991     3.386506     0.263380     2645425.447661
1.006006     3.402302     0.245732     2505564.871421
1.021021     3.423439     0.236703     2449520.742450
1.036036     3.444443     0.234586     2463320.912347
1.051051     3.465643     0.236220     2516423.731777
1.066066     3.488464     0.243503     2631072.556600
1.081081     3.509556     0.258740     2835084.650911
1.096096     3.525358     0.279924     3109793.280211
1.111111     3.535391     0.305348     3438715.071709
1.126126     3.536847     0.334893     3822403.869569
1.141141     3.525850     0.363163     4200340.248809
1.156156     3.505214     0.382903     4486923.942944
1.171171     3.480584     0.391564     4648004.483418
1.186186     3.456959     0.389489     4682651.605072
1.201201     3.436918     0.378688     4610419.670430
1.216216     3.423199     0.358264     4416292.253545
1.231231     3.423925     0.331568     4137665.389881
1.246246     3.440950     0.311059     3929069.808998
1.261261     3.464468     0.305590     3906497.675968
1.276276     3.482360     0.313217     4051661.842221
1.291291     3.488665     0.324665     4249163.850290
1.306306     3.485329     0.330192     4371749.059320
1.321321     3.480583     0.323672     4334684.994889
1.336336     3.485347     0.307716     4167818.045220
1.351351     3.503820     0.292225     4002484.869357
1.366366     3.532094     0.285069     3947850.981584
1.381381     3.564860     0.288652     4041403.109965
1.396396     3.598734     0.304474     4309255.181793
1.411411     3.627909     0.334869     4790409.734180
1.426426     3.643157     0.377596     5459090.345244
1.441441     3.637501     0.423361     6185162.356454
1.456456     3.611281     0.458881     6773940.147272
1.471471     3.574575     0.473408     7060422.908364
1.486486     3.541845     0.466547     7029107.283358
