#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     3.187059     0.000000     0.000000
0.015015     3.187084     0.000166     25.202420
0.030030     3.187159     0.000331     100.828000
0.045045     3.187283     0.000497     226.931475
0.060060     3.187457     0.000663     403.604573
0.075075     3.187681     0.000829     630.975630
0.090090     3.187954     0.000996     909.210895
0.105105     3.188278     0.001163     1238.513719
0.120120     3.188652     0.001330     1619.126528
0.135135     3.189076     0.001498     2051.330429
0.150150     3.189550     0.001666     2535.446661
0.165165     3.190075     0.001835     3071.837168
0.180180     3.190651     0.002005     3660.905878
0.195195     3.191277     0.002175     4303.100249
0.210210     3.191955     0.002346     4998.911409
0.225225     3.192685     0.002518     5748.877077
0.240240     3.193466     0.002691     6553.582644
0.255255     3.194299     0.002866     7413.663716
0.270270     3.195184     0.003041     8329.806055
0.285285     3.196123     0.003217     9302.750365
0.300300     3.197114     0.003395     10333.293897
0.315315     3.198159     0.003574     11422.293394
0.330330     3.199258     0.003755     12570.666186
0.345345     3.200411     0.003937     13779.397543
0.360360     3.201618     0.004120     15049.540847
0.375375     3.202882     0.004306     16382.222371
0.390390     3.204201     0.004493     17778.647198
0.405405     3.205576     0.004682     19240.102598
0.420420     3.207009     0.004874     20767.964675
0.435435     3.208499     0.005067     22363.702926
0.450450     3.210047     0.005263     24028.888427
0.465465     3.211655     0.005461     25765.198397
0.480480     3.213322     0.005662     27574.429032
0.495495     3.215049     0.005866     29458.499643
0.510511     3.216839     0.006072     31419.466142
0.525526     3.218690     0.006282     33459.528915
0.540541     3.220605     0.006495     35581.048261
0.555556     3.222583     0.006711     37786.557033
0.570571     3.224627     0.006930     40078.776052
0.585586     3.226738     0.007154     42460.631353
0.600601     3.228915     0.007382     44935.274404
0.615616     3.231162     0.007614     47506.103647
0.630631     3.233478     0.007850     50176.792291
0.645646     3.235866     0.008092     52951.310995
0.660661     3.238327     0.008338     55833.967017
0.675676     3.240863     0.008590     58829.436835
0.690691     3.243474     0.008848     61942.811262
0.705706     3.246164     0.009113     65179.641349
0.720721     3.248933     0.009384     68545.999322
0.735736     3.251784     0.009662     72048.537849
0.750751     3.254719     0.009948     75694.574828
0.765766     3.257741     0.010242     79492.173168
0.780781     3.260852     0.010545     83450.251669
0.795796     3.264054     0.010858     87578.705541
0.810811     3.267350     0.011181     91888.553011
0.825826     3.270745     0.011516     96392.111356
0.840841     3.274241     0.011863     101103.201940
0.855856     3.277841     0.012224     106037.408536
0.870871     3.281551     0.012600     111212.376995
0.885886     3.285373     0.012991     116648.195546
0.900901     3.289315     0.013401     122367.849383
0.915916     3.293379     0.013831     128397.800723
0.930931     3.297574     0.014283     134768.699321
0.945946     3.301904     0.014760     141516.292831
0.960961     3.306378     0.015265     148682.576128
0.975976     3.311004     0.015802     156317.285161
0.990991     3.315790     0.016376     164479.839174
1.006006     3.320748     0.016991     173241.896229
1.021021     3.325889     0.017654     182690.789848
1.036036     3.331227     0.018373     192934.163705
1.051051     3.336777     0.019160     204106.389638
1.066066     3.342558     0.020026     216377.522119
1.081081     3.348590     0.020988     229966.093183
1.096096     3.354897     0.022068     245157.691667
1.111111     3.361508     0.023294     262332.521288
1.126126     3.368456     0.024708     282007.085695
1.141141     3.375777     0.026362     304898.527901
1.156156     3.383513     0.028334     332025.550074
1.171171     3.391704     0.030738     364867.972189
1.186186     3.400379     0.033738     405615.579482
1.201201     3.409524     0.037580     457530.026660
1.216216     3.419015     0.042618     525346.583804
1.231231     3.428460     0.049297     615180.483954
1.246246     3.436940     0.057942     731881.706552
1.261261     3.442955     0.068020     869532.205701
1.276276     3.445668     0.077226     998973.612794
1.291291     3.447213     0.083115     1087790.333845
1.306306     3.450870     0.086725     1148235.262413
1.321321     3.457094     0.090833     1216455.251253
1.336336     3.464872     0.097041     1314356.339351
1.351351     3.472634     0.106801     1462807.128520
1.366366     3.476782     0.120315     1666218.855651
1.381381     3.473893     0.133369     1867290.247318
1.396396     3.466712     0.139312     1971699.083898
1.411411     3.463290     0.138032     1974589.562779
1.426426     3.466441     0.136426     1972384.081293
1.441441     3.471942     0.138587     2024714.407853
1.456456     3.476066     0.142742     2107141.220271
1.471471     3.479229     0.146474     2184517.350403
1.486486     3.482449     0.149616     2254145.276915
1.501502     3.486216     0.152124     2315085.453397
1.516517     3.491241     0.154436     2373770.570282
1.531532     3.497837     0.157385     2443054.614572
1.546547     3.506022     0.162352     2544864.124364
1.561562     3.514118     0.171303     2711245.207836
1.576577     3.518039     0.183878     2938247.776756
1.591592     3.515480     0.195268     3149971.467971
1.606607     3.509779     0.200472     3264431.875881
1.621622     3.507388     0.199963     3286571.052910
1.636637     3.510528     0.200139     3319912.626730
1.651652     3.513735     0.204992     3431622.705231
1.666667     3.511890     0.210378     3553796.967426
1.681682     3.507113     0.210746     3592093.935830
1.696697     3.503744     0.205115     3527329.122783
1.711712     3.505795     0.194449     3373493.083505
1.726727     3.516528     0.183381     3209378.067294
1.741742     3.533876     0.177514     3133724.427247
1.756757     3.553544     0.178076     3170740.381828
1.771772     3.573832     0.184368     3310838.492603
1.786787     3.593333     0.197735     3580966.738359
1.801802     3.607360     0.218726     3994388.487515
1.816817     3.610930     0.242873     4472337.894763
1.831832     3.604403     0.262628     4876073.400884
1.846847     3.593460     0.274154     5131791.107477
1.861862     3.582275     0.278621     5257814.670317
1.876877     3.572755     0.276969     5268794.334238
1.891892     3.566585     0.270682     5190378.617995
1.906907     3.564302     0.260145     5027917.741210
1.921922     3.569590     0.245969     4791371.135697
1.936937     3.584885     0.234527     4604183.100169
1.951952     3.605297     0.232061     4591079.969253
1.966967     3.623287     0.238302     4750813.308279
1.981982     3.634604     0.248053     4982963.647997
1.996997     3.639886     0.255015     5161621.061179
2.012012     3.644628     0.255253     5205291.766425
2.027027     3.655703     0.251273     5162359.876695
2.042042     3.674830     0.250158     5177530.590549
2.057057     3.697902     0.257341     5365369.685610
2.072072     3.718753     0.273852     5751267.160595
2.087087     3.732077     0.296903     6280554.794696
2.102102     3.735297     0.321062     6840480.294438
2.117117     3.729490     0.340665     7309964.954540
2.132132     3.718563     0.351744     7601247.609948
2.147147     3.707565     0.353365     7690047.883063
2.162162     3.700714     0.346930     7602804.868455
2.177177     3.701191     0.335321     7399425.193838
2.192192     3.710587     0.323027     7177287.293355
2.207207     3.726877     0.315216     7051728.086222
2.222222     3.744315     0.313204     7054381.895472
2.237237     3.759754     0.312388     7083542.916534
2.252252     3.776778     0.308694     7046744.268131
2.267267     3.801079     0.304390     6994813.826537
2.282282     3.833565     0.306703     7094652.956981
2.297297     3.868379     0.320891     7471690.360292
2.312312     3.898458     0.346089     8111063.084840
