#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     5.321614     0.000000     0.000000
0.015015     5.321948     0.002249     342.203475
0.030030     5.322952     0.004503     1370.640703
0.045045     5.324627     0.006770     3090.819773
0.060060     5.326979     0.009055     5512.014105
0.075075     5.330013     0.011364     8647.405388
0.090090     5.333737     0.013705     12514.289961
0.105105     5.338162     0.016084     17134.355577
0.120120     5.343300     0.018509     22534.037416
0.135135     5.349164     0.020987     28744.966732
0.150150     5.355772     0.023527     35804.526537
0.165165     5.363142     0.026139     43756.537094
0.180180     5.371296     0.028831     52652.098451
0.195195     5.380259     0.031617     62550.622987
0.210210     5.390059     0.034508     73521.108121
0.225225     5.400728     0.037518     85643.706665
0.240240     5.412301     0.040663     99011.675470
0.255255     5.424820     0.043961     113733.810944
0.270270     5.438328     0.047434     129937.513510
0.285285     5.452879     0.051106     147772.677271
0.300300     5.468531     0.055005     167416.676396
0.315315     5.485350     0.059164     189080.824190
0.330330     5.503410     0.063625     213018.838959
0.345345     5.522800     0.068435     239538.083467
0.360360     5.543617     0.073654     269014.696782
0.375375     5.565976     0.079355     301914.278334
0.390390     5.590009     0.085630     338820.631943
0.405405     5.615868     0.092597     380476.424896
0.420420     5.643731     0.100405     427841.809441
0.435435     5.673808     0.109255     482180.666211
0.450450     5.706338     0.119415     545190.181368
0.465465     5.741602     0.131250     619199.668587
0.480480     5.779910     0.145277     707481.648159
0.495495     5.821590     0.162233     814745.638211
0.510511     5.866929     0.183200     947923.309770
0.525526     5.916024     0.209780     1117379.601258
0.540541     5.968414     0.244325     1338565.223461
0.555556     6.022227     0.290065     1633300.587717
0.570571     6.072506     0.350431     2026541.945013
0.585586     6.109392     0.425619     2526124.670229
0.600601     6.121522     0.505079     3074600.661148
0.615616     6.111740     0.567534     3541152.789894
0.630631     6.102404     0.604988     3866919.438162
0.645646     6.106972     0.631135     4130093.695039
0.660661     6.123172     0.655544     4389587.261041
0.675676     6.150935     0.681536     4667354.433213
0.690691     6.189632     0.716109     5013099.281044
0.705706     6.233025     0.764336     5467026.686713
0.720721     6.274611     0.826861     6040082.695752
0.735736     6.307260     0.902146     6727323.420342
0.750751     6.325457     0.981395     7467635.573750
0.765766     6.336689     1.055193     8189765.799328
0.780781     6.350740     1.131453     8953835.774418
0.795796     6.356321     1.220904     9847516.898084
0.810811     6.338434     1.309734     10763318.058831
0.825826     6.307935     1.377759     11532013.240273
0.840841     6.286194     1.426615     12158051.777945
0.855856     6.283056     1.471941     12768342.712145
0.870871     6.294955     1.531277     13516087.928581
0.885886     6.304996     1.615528     14505600.132078
0.900901     6.292389     1.717117     15679076.836451
0.915916     6.251914     1.816627     16864169.641964
0.930931     6.190877     1.901245     17939036.222681
0.945946     6.118601     1.965433     18843786.941804
