#   omega [eV]     refractive_index      extinction_coeff       alpha[1/m]
0.000000     4.033568     0.000000     0.000000
0.015015     4.033598     0.000200     30.406087
0.030030     4.033688     0.000400     121.635217
0.045045     4.033838     0.000600     273.719999
0.060060     4.034048     0.000800     486.714838
0.075075     4.034318     0.001000     760.695834
0.090090     4.034648     0.001200     1095.761105
0.105105     4.035038     0.001401     1492.030512
0.120120     4.035489     0.001601     1949.646281
0.135135     4.035999     0.001802     2468.772652
0.150150     4.036570     0.002004     3049.596199
0.165165     4.037202     0.002206     3692.325542
0.180180     4.037894     0.002408     4397.192864
0.195195     4.038647     0.002610     5164.452521
0.210210     4.039461     0.002814     5994.381663
0.225225     4.040336     0.003017     6887.281736
0.240240     4.041272     0.003221     7843.476626
0.255255     4.042269     0.003426     8863.314696
0.270270     4.043328     0.003631     9947.168209
0.285285     4.044449     0.003837     11095.433845
0.300300     4.045631     0.004044     12308.533310
0.315315     4.046876     0.004251     13586.913262
0.330330     4.048183     0.004460     14931.045947
0.345345     4.049553     0.004669     16341.429061
0.360360     4.050985     0.004879     17818.587759
0.375375     4.052481     0.005089     19363.072867
0.390390     4.054040     0.005301     20975.463398
0.405405     4.055663     0.005514     22656.366084
0.420420     4.057350     0.005728     24406.415192
0.435435     4.059101     0.005943     26226.275465
0.450450     4.060916     0.006158     28116.640011
0.465465     4.062797     0.006376     30078.232243
0.480480     4.064743     0.006594     32111.807558
0.495495     4.066755     0.006814     34218.151506
0.510511     4.068832     0.007034     36398.082666
0.525526     4.070977     0.007257     38652.452322
0.540541     4.073188     0.007480     40982.147408
0.555556     4.075466     0.007705     43388.086154
0.570571     4.077812     0.007932     45871.226063
0.585586     4.080227     0.008160     48432.559185
0.600601     4.082710     0.008390     51073.114695
0.615616     4.085262     0.008621     53793.962551
0.630631     4.087884     0.008855     56596.209737
0.645646     4.090577     0.009090     59481.007041
0.660661     4.093340     0.009326     62449.543586
0.675676     4.096174     0.009565     65503.054687
0.690691     4.099080     0.009805     68642.818696
0.705706     4.102059     0.010048     71870.160258
0.720721     4.105111     0.010293     75186.450313
0.735736     4.108236     0.010539     78593.110482
0.750751     4.111436     0.010788     82091.611393
0.765766     4.114711     0.011040     85683.474418
0.780781     4.118062     0.011293     89370.276366
0.795796     4.121489     0.011549     93153.649682
0.810811     4.124993     0.011808     97035.281501
0.825826     4.128575     0.012069     101016.921574
0.840841     4.132236     0.012332     105100.377502
0.855856     4.135976     0.012599     109287.522909
0.870871     4.139797     0.012868     113580.295665
0.885886     4.143698     0.013140     117980.702227
0.900901     4.147682     0.013415     122490.818971
0.915916     4.151749     0.013693     127112.794562
0.930931     4.155900     0.013974     131848.856937
0.945946     4.160135     0.014258     136701.309214
0.960961     4.164456     0.014546     141672.536716
0.975976     4.168864     0.014837     146765.010904
0.990991     4.173359     0.015131     151981.289813
1.006006     4.177944     0.015429     157324.025658
1.021021     4.182619     0.015731     162795.962972
1.036036     4.187384     0.016037     168399.947640
1.051051     4.192242     0.016347     174138.927569
1.066066     4.197193     0.016660     180015.959599
1.081081     4.202239     0.016978     186034.210217
1.096096     4.207381     0.017300     192196.965283
1.111111     4.212621     0.017627     198507.632279
1.126126     4.217958     0.017958     204969.745099
1.141141     4.223396     0.018294     211586.968967
1.156156     4.228935     0.018635     218363.110930
1.171171     4.234578     0.018980     225302.121016
1.186186     4.240324     0.019331     232408.100242
1.201201     4.246177     0.019687     239685.308856
1.216216     4.252137     0.020049     247138.173363
1.231231     4.258206     0.020416     254771.295122
1.246246     4.264386     0.020789     262589.453240
1.261261     4.270679     0.021168     270597.620733
1.276276     4.277086     0.021553     278800.970764
1.291291     4.283610     0.021944     287204.885875
1.306306     4.290252     0.022342     295814.968958
1.321321     4.297015     0.022747     304637.052831
1.336336     4.303899     0.023159     313677.214685
1.351351     4.310909     0.023578     322941.790866
1.366366     4.318045     0.024005     332437.380779
1.381381     4.325310     0.024439     342170.873142
1.396396     4.332706     0.024881     352149.453528
1.411411     4.340236     0.025332     362380.621647
1.426426     4.347902     0.025791     372872.210564
1.441441     4.355707     0.026259     383632.406333
1.456456     4.363654     0.026736     394669.762836
1.471471     4.371745     0.027222     405993.228653
1.486486     4.379983     0.027718     417612.165880
1.501502     4.388371     0.028225     429536.376325
1.516517     4.396912     0.028742     441776.131910
1.531532     4.405610     0.029269     454342.190909
1.546547     4.414468     0.029808     467245.841238
1.561562     4.423488     0.030359     480498.924756
1.576577     4.432675     0.030922     494113.879314
1.591592     4.442033     0.031498     508103.770576
1.606607     4.451565     0.032086     522482.333217
1.621622     4.461275     0.032688     537264.021742
1.636637     4.471168     0.033305     552464.047235
1.651652     4.481247     0.033936     568098.445842
1.666667     4.491517     0.034583     584184.114640
1.681682     4.501983     0.035245     600738.890677
1.696697     4.512650     0.035924     617781.608414
1.711712     4.523522     0.036621     635332.172679
1.726727     4.534606     0.037335     653411.639989
1.741742     4.545906     0.038069     672042.308177
1.756757     4.557428     0.038822     691247.802912
1.771772     4.569179     0.039596     711053.182146
1.786787     4.581164     0.040391     731485.060992
1.801802     4.593390     0.041210     752571.719652
1.816817     4.605864     0.042051     774343.255345
1.831832     4.618593     0.042918     796831.727209
1.846847     4.631585     0.043810     820071.319715
1.861862     4.644847     0.044730     844098.536887
1.876877     4.658389     0.045679     868952.399299
1.891892     4.672218     0.046658     894674.677981
1.906907     4.686344     0.047669     921310.147406
1.921922     4.700776     0.048713     948906.863253
1.936937     4.715526     0.049793     977516.487865
1.951952     4.730602     0.050910     1007194.640623
1.966967     4.746018     0.052066     1038001.300127
1.981982     4.761784     0.053265     1070001.251698
1.996997     4.777914     0.054508     1103264.601247
2.012012     4.794421     0.055798     1137867.342415
2.027027     4.811320     0.057138     1173892.027392
2.042042     4.828625     0.058531     1211428.500887
2.057057     4.846353     0.059982     1250574.762201
2.072072     4.864521     0.061493     1291437.946308
2.087087     4.883147     0.063069     1334135.459252
2.102102     4.902251     0.064715     1378796.283459
2.117117     4.921855     0.066435     1425562.507346
2.132132     4.941981     0.068236     1474591.089421
2.147147     4.962652     0.070124     1526055.958021
2.162162     4.983897     0.072105     1580150.453293
2.177177     5.005742     0.074188     1637090.242884
2.192192     5.028218     0.076382     1697116.783249
2.207207     5.051359     0.078695     1760501.476330
2.222222     5.075201     0.081141     1827550.684968
2.237237     5.099783     0.083730     1898611.820698
2.252252     5.125149     0.086478     1974080.807747
2.267267     5.151346     0.089401     2054411.298679
2.282282     5.178425     0.092518     2140126.149007
2.297297     5.206446     0.095852     2231831.866636
2.312312     5.235471     0.099428     2330236.976086
2.327327     5.265572     0.103278     2436175.653516
2.342342     5.296829     0.107437     2550638.525576
2.357357     5.329331     0.111950     2674813.357697
2.372372     5.363179     0.116870     2810139.677954
2.387387     5.398489     0.122261     2958383.275227
2.402402     5.435391     0.128206     3121739.755249
2.417417     5.474035     0.134807     3302981.275676
2.432432     5.514591     0.142196     3505668.840436
2.447447     5.557258     0.150547     3734466.017199
2.462462     5.602257     0.160092     3995611.713152
2.477477     5.649837     0.171150     4297643.128814
2.492492     5.700259     0.184166     4652501.818811
2.507508     5.753758     0.199772     5077166.283213
2.522523     5.810442     0.218866     5595738.709321
2.537538     5.870066     0.242651     6240759.293077
2.552553     5.931622     0.272455     7048765.474701
2.567568     5.993037     0.308945     8039813.200521
2.582583     6.052029     0.350888     9184729.899139
2.597598     6.108378     0.395547     10413895.769698
2.612613     6.164400     0.441647     11694820.974462
2.627628     6.221901     0.490588     13065451.766576
2.642643     6.280774     0.543853     14566786.906426
2.657658     6.341199     0.601775     16209759.751403
2.672673     6.404898     0.666013     18041479.460662
2.687688     6.472039     0.741276     20193077.954468
2.702703     6.539087     0.832552     22806206.018614
2.717718     6.599475     0.943760     25996183.608615
2.732733     6.641930     1.075318     29783625.605499
2.747748     6.655035     1.218139     33924793.035135
2.762763     6.635707     1.357607     38015555.740065
2.777778     6.588680     1.479738     41660645.381762
2.792793     6.526801     1.575134     44586136.191259
2.807808     6.464342     1.646011     46842883.859263
2.822823     6.406450     1.698853     48605234.915315
2.837838     6.357806     1.734967     49902497.250801
