# energy grid [eV]     epsi_x  epsi_y  epsi_z
#
    0.000000000    0.000000000    0.000000000    0.000000000
    0.015015015    0.001611810    0.001611810    0.001611810
    0.030030030    0.003223980    0.003223980    0.003223980
    0.045045045    0.004836870    0.004836870    0.004836870
    0.060060060    0.006450841    0.006450841    0.006450841
    0.075075075    0.008066253    0.008066253    0.008066253
    0.090090090    0.009683469    0.009683469    0.009683469
    0.105105105    0.011302851    0.011302851    0.011302851
    0.120120120    0.012924765    0.012924765    0.012924765
    0.135135135    0.014549577    0.014549577    0.014549577
    0.150150150    0.016177655    0.016177655    0.016177655
    0.165165165    0.017809367    0.017809367    0.017809367
    0.180180180    0.019445088    0.019445088    0.019445088
    0.195195195    0.021085192    0.021085192    0.021085192
    0.210210210    0.022730055    0.022730055    0.022730055
    0.225225225    0.024380060    0.024380060    0.024380060
    0.240240240    0.026035589    0.026035589    0.026035589
    0.255255255    0.027697030    0.027697030    0.027697030
    0.270270270    0.029364774    0.029364774    0.029364774
    0.285285285    0.031039216    0.031039216    0.031039216
    0.300300300    0.032720756    0.032720756    0.032720756
    0.315315315    0.034409798    0.034409798    0.034409798
    0.330330330    0.036106751    0.036106751    0.036106751
    0.345345345    0.037812028    0.037812028    0.037812028
    0.360360360    0.039526050    0.039526050    0.039526050
    0.375375375    0.041249241    0.041249241    0.041249241
    0.390390390    0.042982033    0.042982033    0.042982033
    0.405405405    0.044724864    0.044724864    0.044724864
    0.420420420    0.046478177    0.046478177    0.046478177
    0.435435435    0.048242425    0.048242425    0.048242425
    0.450450450    0.050018066    0.050018066    0.050018066
    0.465465465    0.051805566    0.051805566    0.051805566
    0.480480480    0.053605401    0.053605401    0.053605401
    0.495495495    0.055418053    0.055418053    0.055418053
    0.510510511    0.057244014    0.057244014    0.057244014
    0.525525526    0.059083785    0.059083785    0.059083785
    0.540540541    0.060937879    0.060937879    0.060937879
    0.555555556    0.062806814    0.062806814    0.062806814
    0.570570571    0.064691124    0.064691124    0.064691124
    0.585585586    0.066591351    0.066591351    0.066591351
    0.600600601    0.068508048    0.068508048    0.068508048
    0.615615616    0.070441783    0.070441783    0.070441783
    0.630630631    0.072393133    0.072393133    0.072393133
    0.645645646    0.074362692    0.074362692    0.074362692
    0.660660661    0.076351063    0.076351063    0.076351063
    0.675675676    0.078358867    0.078358867    0.078358867
    0.690690691    0.080386738    0.080386738    0.080386738
    0.705705706    0.082435326    0.082435326    0.082435326
    0.720720721    0.084505296    0.084505296    0.084505296
    0.735735736    0.086597332    0.086597332    0.086597332
    0.750750751    0.088712134    0.088712134    0.088712134
    0.765765766    0.090850419    0.090850419    0.090850419
    0.780780781    0.093012925    0.093012925    0.093012925
    0.795795796    0.095200410    0.095200410    0.095200410
    0.810810811    0.097413650    0.097413650    0.097413650
    0.825825826    0.099653446    0.099653446    0.099653446
