# energy grid [eV]     epsr_x  epsr_y  epsr_z
# plasmon frequences [eV]:    16.976977259   16.976977259   16.976977259
    0.000000000   16.269671162   16.269671162   16.269671165
    0.015015015   16.269912971   16.269912972   16.269912974
    0.030030030   16.270638453   16.270638453   16.270638455
    0.045045045   16.271847769   16.271847769   16.271847771
    0.060060060   16.273541189   16.273541189   16.273541191
    0.075075075   16.275719090   16.275719090   16.275719092
    0.090090090   16.278381959   16.278381959   16.278381962
    0.105105105   16.281530391   16.281530391   16.281530393
    0.120120120   16.285165089   16.285165089   16.285165092
    0.135135135   16.289286867   16.289286867   16.289286869
    0.150150150   16.293896647   16.293896648   16.293896650
    0.165165165   16.298995465   16.298995465   16.298995467
    0.180180180   16.304584463   16.304584464   16.304584466
    0.195195195   16.310664900   16.310664901   16.310664903
    0.210210210   16.317238145   16.317238146   16.317238148
    0.225225225   16.324305681   16.324305681   16.324305684
    0.240240240   16.331869106   16.331869106   16.331869108
    0.255255255   16.339930132   16.339930132   16.339930134
    0.270270270   16.348490589   16.348490589   16.348490591
    0.285285285   16.357552425   16.357552425   16.357552427
    0.300300300   16.367117706   16.367117706   16.367117708
    0.315315315   16.377188619   16.377188619   16.377188621
    0.330330330   16.387767472   16.387767472   16.387767474
    0.345345345   16.398856697   16.398856698   16.398856700
    0.360360360   16.410458851   16.410458852   16.410458854
    0.375375375   16.422576617   16.422576617   16.422576620
    0.390390390   16.435212806   16.435212806   16.435212808
    0.405405405   16.448370359   16.448370360   16.448370362
    0.420420420   16.462052351   16.462052351   16.462052353
    0.435435435   16.476261987   16.476261988   16.476261990
    0.450450450   16.491002614   16.491002614   16.491002616
    0.465465465   16.506277712   16.506277712   16.506277714
    0.480480480   16.522090905   16.522090905   16.522090908
    0.495495495   16.538445960   16.538445960   16.538445963
    0.510510511   16.555346790   16.555346790   16.555346792
    0.525525526   16.572797455   16.572797455   16.572797457
    0.540540541   16.590802168   16.590802168   16.590802171
    0.555555556   16.609365297   16.609365297   16.609365300
    0.570570571   16.628491367   16.628491367   16.628491369
    0.585585586   16.648185062   16.648185062   16.648185064
    0.600600601   16.668451233   16.668451233   16.668451235
    0.615615616   16.689294897   16.689294897   16.689294899
    0.630630631   16.710721242   16.710721242   16.710721245
    0.645645646   16.732735633   16.732735633   16.732735635
    0.660660661   16.755343612   16.755343612   16.755343614
    0.675675676   16.778550905   16.778550905   16.778550907
    0.690690691   16.802363426   16.802363426   16.802363428
    0.705705706   16.826787280   16.826787281   16.826787283
    0.720720721   16.851828772   16.851828772   16.851828774
    0.735735736   16.877494404   16.877494404   16.877494406
    0.750750751   16.903790887   16.903790888   16.903790890
    0.765765766   16.930725146   16.930725146   16.930725149
    0.780780781   16.958304321   16.958304321   16.958304323
    0.795795796   16.986535776   16.986535776   16.986535778
    0.810810811   17.015427105   17.015427105   17.015427107
    0.825825826   17.044986138   17.044986138   17.044986140
    0.840840841   17.075220946   17.075220946   17.075220948
    0.855855856   17.106139850   17.106139851   17.106139853
    0.870870871   17.137751429   17.137751429   17.137751431
    0.885885886   17.170064521   17.170064522   17.170064524
    0.900900901   17.203088241   17.203088241   17.203088244
    0.915915916   17.236831979   17.236831979   17.236831982
    0.930930931   17.271305416   17.271305416   17.271305418
    0.945945946   17.306518527   17.306518527   17.306518529
    0.960960961   17.342481594   17.342481595   17.342481597
    0.975975976   17.379205217   17.379205217   17.379205219
    0.990990991   17.416700317   17.416700317   17.416700319
    1.006006006   17.454978154   17.454978154   17.454978156
    1.021021021   17.494050334   17.494050334   17.494050336
    1.036036036   17.533928821   17.533928821   17.533928824
    1.051051051   17.574625950   17.574625950   17.574625953
    1.066066066   17.616154438   17.616154439   17.616154441
    1.081081081   17.658527399   17.658527399   17.658527401
    1.096096096   17.701758354   17.701758354   17.701758357
    1.111111111   17.745861251   17.745861251   17.745861253
    1.126126126   17.790850474   17.790850474   17.790850477
    1.141141141   17.836740863   17.836740864   17.836740866
    1.156156156   17.883547729   17.883547730   17.883547732
    1.171171171   17.931286871   17.931286871   17.931286874
    1.186186186   17.979974594   17.979974594   17.979974596
    1.201201201   18.029627727   18.029627728   18.029627730
    1.216216216   18.080263648   18.080263648   18.080263651
    1.231231231   18.131900298   18.131900298   18.131900300
    1.246246246   18.184556206   18.184556206   18.184556208
    1.261261261   18.238250513   18.238250514   18.238250516
    1.276276276   18.293002998   18.293002998   18.293003000
    1.291291291   18.348834097   18.348834097   18.348834099
    1.306306306   18.405764936   18.405764936   18.405764938
    1.321321321   18.463817357   18.463817357   18.463817360
    1.336336336   18.523013949   18.523013949   18.523013952
    1.351351351   18.583378078   18.583378078   18.583378080
    1.366366366   18.644933919   18.644933920   18.644933922
    1.381381381   18.707706497   18.707706497   18.707706500
    1.396396396   18.771721717   18.771721717   18.771721719
    1.411411411   18.837006405   18.837006405   18.837006407
    1.426426426   18.903588352   18.903588353   18.903588355
    1.441441441   18.971496357   18.971496357   18.971496360
    1.456456456   19.040760270   19.040760270   19.040760272
    1.471471471   19.111411043   19.111411043   19.111411045
    1.486486486   19.183480784   19.183480784   19.183480786
    1.501501502   19.257002809   19.257002809   19.257002811
    1.516516517   19.332011702   19.332011702   19.332011704
    1.531531532   19.408543376   19.408543376   19.408543379
    1.546546547   19.486635142   19.486635142   19.486635145
    1.561561562   19.566325775   19.566325776   19.566325778
    1.576576577   19.647655592   19.647655592   19.647655595
    1.591591592   19.730666530   19.730666530   19.730666532
    1.606606607   19.815402231   19.815402231   19.815402233
    1.621621622   19.901908134   19.901908134   19.901908137
    1.636636637   19.990231572   19.990231572   19.990231575
    1.651651652   20.080421874   20.080421874   20.080421877
    1.666666667   20.172530476   20.172530477   20.172530479
    1.681681682   20.266611042   20.266611043   20.266611045
    1.696696697   20.362719590   20.362719590   20.362719592
    1.711711712   20.460914627   20.460914627   20.460914630
    1.726726727   20.561257300   20.561257300   20.561257303
    1.741741742   20.663811552   20.663811552   20.663811554
    1.756756757   20.768644291   20.768644291   20.768644293
    1.771771772   20.875825577   20.875825577   20.875825580
    1.786786787   20.985428819   20.985428819   20.985428822
    1.801801802   21.097530988   21.097530989   21.097530991
    1.816816817   21.212212852   21.212212853   21.212212855
    1.831831832   21.329559226   21.329559226   21.329559229
    1.846846847   21.449659245   21.449659245   21.449659247
    1.861861862   21.572606661   21.572606662   21.572606664
    1.876876877   21.698500170   21.698500170   21.698500173
    1.891891892   21.827443758   21.827443759   21.827443761
    1.906906907   21.959547093   21.959547093   21.959547095
    1.921921922   22.094925939   22.094925939   22.094925941
    1.936936937   22.233702624   22.233702624   22.233702627
    1.951951952   22.376006545   22.376006546   22.376006548
    1.966966967   22.521974723   22.521974724   22.521974726
    1.981981982   22.671752420   22.671752421   22.671752423
    1.996996997   22.825493816   22.825493817   22.825493819
    2.012012012   22.983362761   22.983362761   22.983362763
    2.027027027   23.145533605   23.145533605   23.145533607
    2.042042042   23.312192128   23.312192128   23.312192131
    2.057057057   23.483536570   23.483536570   23.483536573
    2.072072072   23.659778783   23.659778783   23.659778785
    2.087087087   23.841145521   23.841145521   23.841145524
    2.102102102   24.027879897   24.027879897   24.027879900
    2.117117117   24.220243011   24.220243011   24.220243013
    2.132132132   24.418515800   24.418515800   24.418515802
    2.147147147   24.623001134   24.623001135   24.623001137
    2.162162162   24.834026199   24.834026199   24.834026202
    2.177177177   25.051945214   25.051945215   25.051945217
    2.192192192   25.277142554   25.277142554   25.277142557
    2.207207207   25.510036332   25.510036332   25.510036335
    2.222222222   25.751082546   25.751082546   25.751082549
    2.237237237   26.000779885   26.000779885   26.000779887
    2.252252252   26.259675327   26.259675327   26.259675329
    2.267267267   26.528370702   26.528370702   26.528370704
    2.282282282   26.807530399   26.807530399   26.807530402
    2.297297297   27.097890487   27.097890488   27.097890490
    2.312312312   27.400269538   27.400269539   27.400269541
    2.327327327   27.715581541   27.715581541   27.715581543
    2.342342342   28.044851368   28.044851368   28.044851370
    2.357357357   28.389233360   28.389233360   28.389233363
    2.372372372   28.750033669   28.750033669   28.750033672
    2.387387387   29.128737071   29.128737071   29.128737074
    2.402402402   29.527038861   29.527038862   29.527038864
    2.417417417   29.946882004   29.946882004   29.946882007
    2.432432432   30.390498399   30.390498399   30.390498402
    2.447447447   30.860449712   30.860449712   30.860449714
    2.462462462   31.359654774   31.359654774   31.359654777
    2.477477477   31.891370094   31.891370094   31.891370097
    2.492492492   32.459040768   32.459040768   32.459040770
    2.507507508   33.065823561   33.065823562   33.065823564
    2.522522523   33.713335271   33.713335271   33.713335273
    2.537537538   34.398791567   34.398791567   34.398791569
    2.552552553   35.109904647   35.109904647   35.109904649
    2.567567568   35.821049986   35.821049986   35.821049988
    2.582582583   36.503927886   36.503927886   36.503927888
    2.597597598   37.155823389   37.155823389   37.155823391
    2.612612613   37.804772970   37.804772970   37.804772972
    2.627627628   38.471369610   38.471369610   38.471369612
    2.642642643   39.152340261   39.152340261   39.152340264
    2.657657658   39.848673826   39.848673826   39.848673828
    2.672672673   40.579143898   40.579143899   40.579143901
    2.687687688   41.337796964   41.337796965   41.337796967
    2.702702703   42.066522879   42.066522880   42.066522882
    2.717717718   42.662381633   42.662381634   42.662381636
    2.732732733   42.958925990   42.958925990   42.958925993
    2.747747748   42.805624981   42.805624982   42.805624984
    2.762762763   42.189509689   42.189509689   42.189509691
    2.777777778   41.221079704   41.221079704   41.221079706
    2.792792793   40.118081218   40.118081218   40.118081221
    2.807807808   39.078371613   39.078371613   39.078371615
    2.822822823   38.156494088   38.156494088   38.156494091
    2.837837838   37.411589412   37.411589412   37.411589415
    2.852852853   36.931613175   36.931613175   36.931613178
    2.867867868   36.628538228   36.628538229   36.628538231
    2.882882883   36.272271765   36.272271765   36.272271768
    2.897897898   35.708354039   35.708354039   35.708354042
    2.912912913   34.996729453   34.996729453   34.996729456
    2.927927928   34.302551231   34.302551232   34.302551234
    2.942942943   33.724770722   33.724770722   33.724770724
    2.957957958   33.301387302   33.301387302   33.301387305
    2.972972973   33.041419605   33.041419606   33.041419608
    2.987987988   32.878859454   32.878859455   32.878859457
    3.003003003   32.727799540   32.727799540   32.727799542
    3.018018018   32.510938269   32.510938269   32.510938271
    3.033033033   32.217048823   32.217048824   32.217048826
    3.048048048   31.942863244   31.942863245   31.942863247
    3.063063063   31.738502144   31.738502144   31.738502147
    3.078078078   31.551066840   31.551066840   31.551066842
    3.093093093   31.334638140   31.334638140   31.334638143
    3.108108108   31.096343245   31.096343245   31.096343247
    3.123123123   30.814723551   30.814723551   30.814723553
    3.138138138   30.468315172   30.468315173   30.468315175
    3.153153153   30.124674345   30.124674345   30.124674348
    3.168168168   29.865107125   29.865107126   29.865107128
