# energy grid [eV]     ieps_x  ieps_y  ieps_z
#
    0.000000000   16.228701943   16.228701943   16.228701943
    0.015015015   16.227355485   16.227355485   16.227355485
    0.030030030   16.225024898   16.225024898   16.225024898
    0.045045045   16.222205714   16.222205714   16.222205714
    0.060060060   16.218904526   16.218904526   16.218904526
    0.075075075   16.215122090   16.215122090   16.215122090
    0.090090090   16.210859249   16.210859249   16.210859249
    0.105105105   16.206116949   16.206116949   16.206116949
    0.120120120   16.200896244   16.200896244   16.200896244
    0.135135135   16.195198290   16.195198290   16.195198290
    0.150150150   16.189024348   16.189024348   16.189024348
    0.165165165   16.182375784   16.182375784   16.182375784
    0.180180180   16.175254063   16.175254063   16.175254063
    0.195195195   16.167660753   16.167660753   16.167660753
    0.210210210   16.159597523   16.159597523   16.159597523
    0.225225225   16.151066141   16.151066141   16.151066141
    0.240240240   16.142068473   16.142068473   16.142068473
    0.255255255   16.132606482   16.132606482   16.132606482
    0.270270270   16.122682228   16.122682228   16.122682228
    0.285285285   16.112297866   16.112297866   16.112297866
    0.300300300   16.101455642   16.101455642   16.101455642
    0.315315315   16.090157898   16.090157898   16.090157898
    0.330330330   16.078407065   16.078407065   16.078407065
    0.345345345   16.066205662   16.066205662   16.066205662
    0.360360360   16.053556299   16.053556299   16.053556299
    0.375375375   16.040461670   16.040461670   16.040461670
    0.390390390   16.026924555   16.026924555   16.026924555
    0.405405405   16.012947817   16.012947817   16.012947817
    0.420420420   15.998534402   15.998534402   15.998534402
    0.435435435   15.983687333   15.983687333   15.983687333
    0.450450450   15.968409715   15.968409715   15.968409715
    0.465465465   15.952704726   15.952704726   15.952704726
    0.480480480   15.936575622   15.936575622   15.936575622
    0.495495495   15.920025730   15.920025730   15.920025730
    0.510510511   15.903058449   15.903058449   15.903058449
    0.525525526   15.885677248   15.885677247   15.885677248
    0.540540541   15.867885661   15.867885661   15.867885661
    0.555555556   15.849687291   15.849687291   15.849687291
    0.570570571   15.831085802   15.831085802   15.831085802
    0.585585586   15.812084922   15.812084922   15.812084922
    0.600600601   15.792688437   15.792688437   15.792688437
    0.615615616   15.772900192   15.772900192   15.772900192
    0.630630631   15.752724087   15.752724087   15.752724087
    0.645645646   15.732164078   15.732164078   15.732164078
    0.660660661   15.711224171   15.711224171   15.711224171
    0.675675676   15.689908422   15.689908422   15.689908422
    0.690690691   15.668220937   15.668220937   15.668220937
    0.705705706   15.646165866   15.646165866   15.646165866
    0.720720721   15.623747403   15.623747403   15.623747403
    0.735735736   15.600969786   15.600969786   15.600969786
    0.750750751   15.577837291   15.577837291   15.577837291
    0.765765766   15.554354234   15.554354234   15.554354234
    0.780780781   15.530524965   15.530524965   15.530524965
    0.795795796   15.506353869   15.506353869   15.506353869
    0.810810811   15.481845363   15.481845363   15.481845363
    0.825825826   15.457003896   15.457003896   15.457003896
    0.840840841   15.431833943   15.431833943   15.431833943
    0.855855856   15.406340005   15.406340005   15.406340005
    0.870870871   15.380526609   15.380526609   15.380526609
    0.885885886   15.354398304   15.354398304   15.354398304
    0.900900901   15.327959659   15.327959659   15.327959659
    0.915915916   15.301215263   15.301215263   15.301215263
    0.930930931   15.274169720   15.274169720   15.274169720
    0.945945946   15.246827651   15.246827651   15.246827651
    0.960960961   15.219193689   15.219193689   15.219193689
    0.975975976   15.191272479   15.191272479   15.191272479
    0.990990991   15.163068676   15.163068676   15.163068676
    1.006006006   15.134586942   15.134586942   15.134586942
    1.021021021   15.105831945   15.105831945   15.105831945
    1.036036036   15.076808361   15.076808361   15.076808361
    1.051051051   15.047520864   15.047520864   15.047520864
    1.066066066   15.017974132   15.017974132   15.017974132
    1.081081081   14.988172843   14.988172843   14.988172843
